tweet_id,therapy,label
1454224517895688192,adderall,neutral
1426258820376842243,oxycodone,negative
1473007602170798082,cbd,neutral
1561156143405502466,percocet,neutral
1559923718578741248,adderall,negative
1538223502116929537,tramadol,neutral
1547945121722732545,cannabis,neutral
1524774073447981060,cannabis,neutral
1485948635753984005,tramadol,negative
1534480530317746181,adderall,neutral
1394309442087313409,vyvanse,neutral
1546580773884596224,tramadol,neutral
1467055145972211713,adderall,neutral
1475964131253518336,yoga,neutral
1473367487907446786,adderall,neutral
1486449705861140487,alprazolam,neutral
1542553031262081025,percocet,neutral
1543134698725064705,oxycodone,neutral
1474438484031328256,alprazolam,neutral
1455308742564614144,cannabis,negative
1555908688979820545,hydrocodone,negative
1391911520477474816,adderall,negative
1455948899496124418,alprazolam,neutral
1520397770405863428,percocet,neutral
1449603740475006976,cbd,neutral
1556284854869934082,cbd,positive
1564508227223666690,percocet,neutral
1520156528975785986,adderall,neutral
1501643522767794180,hypnosis,neutral
1524796915845586944,adderall,negative
1461831790679654400,yoga,neutral
1535625012656349185,percocet,neutral
1459992932845453312,adderall,neutral
1526266167337308160,acupuncture,neutral
1408932730247782403,adderall,neutral
1448776078273785862,percocet,neutral
1511480673412030471,cannabis,neutral
1547700709491036161,adderall,neutral
1507024772370092034,adderall,neutral
1557889519227109376,alprazolam,neutral
1483932753884237824,adderall,positive
1543599311178678272,cannabis,neutral
1436446587866202114,alprazolam,neutral
1434684235999240193,oxycodone,negative
1552301361965830144,ritalin,neutral
1502669640417353731,adderall,positive
1486709394230419457,adderall,positive
1415283090268856324,adderall,neutral
1527406585907228677,clonazepam,neutral
1392103230742560768,adderall,neutral
1396614361582505984,adderall,neutral
1450178350094241792,alprazolam,neutral
1499450733338382336,oxycodone,negative
1546369229825314816,cannabis,positive
1410143595793764353,alprazolam,neutral
1403406091057311752,adderall,negative
1525876177843388417,cbd,positive
1556904711080579072,adderall,neutral
1574869618249834511,cbd,positive
1490629216668430337,adderall,neutral
1505234163233820673,adderall,negative
1530312970550378496,oxycontin,neutral
1464379530810908674,adderall,neutral
1417906082245132294,cannabis,positive
1558489237489606658,adderall,neutral
1470953913926881286,cbd,positive
1514620902163501058,tramadol,negative
1491868931375742976,adderall,neutral
